Age	LG	MG	HG	SiO2	Al2O3	Fe2O3	FeO	CaO	MgO	Na2O	K2O	TiO2
2	18.05	80.48	1.47	55.22	23.4	6.35	0.32	0.25	0.38	0.14	2.58	0.7
2	27.2	71.62	1.18	63.41	20.26	4.52	0.25	0.28	0.14	0.3	2.53	0.71
2	22.4	75.36	2.24	62.8	20.93	4.53	0.18	0.21	0.28	0.36	3.07	0.49
2	14.71	84.69	0.6	64.72	21.58	1.65	0.28	0.25	0.29	0.3	3.25	0.72
2	25.43	73.91	0.66	61.13	17.92	9.22	0.19	0.25	0.22	0.23	3.01	0.79
2	22.19	76.02	1.79	73.19	14.15	3.21	0.26	0.29	0.18	0.23	2.35	0.66
2	15.18	74.63	10.19	69.3	18.45	1.77	0.15	0.27	0.25	0.22	2.83	0.59
2	21.03	71.2	7.77	68.08	14.84	7.4	0.24	0.24	0.16	0.22	2.23	0.61
3	12.73	63.97	23.3	64.87	16.31	7.83	0.24	0.27	0.18	0.2	2.83	0.63
1	14.13	80.69	5.18	68.15	19.01	1.93	0.21	0.46	0.23	0.27	3.28	1.15
1	14.2	85.74	0.06	63.58	22.69	1.05	0.27	0.27	0.29	0.29	3.58	0.56
1	18.86	80.42	0.72	70.91	15.65	4.1	0.16	0.49	0.07	0.2	2.47	1.16
3	15.4	64.79	19.81	69.21	17.56	0.82	0.42	0.21	0.42	0.23	2.5	0.63
1	19.78	70.52	9.7	65.04	19.88	0.55	0.69	0.25	0.43	0.29	3.72	0.78
1	19.46	66.64	13.9	69.26	18.4	1.11	0.23	0.28	0.33	0.23	2.87	0.51
2	16.26	79.98	3.76	69.91	14.73	6	0.27	0.24	0.1	0.2	2.41	0.49
3	14.08	62.05	23.87	62.54	21.16	4.05	0.19	0.2	0.33	0.28	3.86	0.61
1	20.29	78	1.71	75.52	13.76	1.2	0.16	0.46	0.04	0.13	1.68	1.32
3	24.6	73.54	1.86	66.85	18.56	3.6	0.22	0.22	0.3	0.21	3.06	0.65
1	12.35	84.17	3.48	64.02	16.06	9.39	0.18	0.18	0.19	0.2	2.53	0.54
